Scheme,Category,Type,Benchmark,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
UTI Hybrid Equity Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,264.55,6.44,16.26,9.06,1000.0,1.99,1000.0
UTI Hybrid Equity Fund-Reg(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,33.22,6.44,16.23,8.64,5000.0,1.99,1000.0
UTI Gilt Fund-Reg(IDCW), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index,32.45,6.36,3.84,4.45,20000.0,0.94,1000.0
UTI Gilt Fund-Reg(G), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index,52.31,6.36,3.84,4.45,1000.0,0.94,1000.0
Sundaram Ultra Short Duration Fund(G), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,2318.32,4.95,4.02,3.45,1000.0,1.43,1000.0
Sundaram Ultra Short Duration Fund(DD-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,1005.43,4.95,4.02,3.39,1000.0,1.43,1000.0
Sundaram Ultra Short Duration Fund(W-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,1020.11,4.95,4.02,9.21,1000.0,1.43,1000.0
Sundaram Ultra Short Duration Fund(M-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,1064.82,4.95,4.02,3.38,1000.0,1.43,1000.0
HDFC Small Cap Fund-Reg(G), Equity - Small cap Fund, Open ended, S&P BSE 250 Small Cap - TRI,80.57,9.89,26.33,11.56,1000.0,1.93,1000.0
HDFC Small Cap Fund-Reg(IDCW), Equity - Small cap Fund, Open ended, S&P BSE 250 Small Cap - TRI,34.58,9.9,26.33,11.29,1000.0,1.93,1000.0
